n,y, depth.  m ,bk,GZ1,GZ2,GZ3,GZ4,GZ5,GZ7,DGK,NKTD,NKTM,NKTR,ALPS
1,0,3042.463,0.455778545,0.774,0.774,0.332845999,0.47654487,0.774,0.244897666,0.123651257,0.774,0.799166929,0.174639485,0.727788979
1,0,2412.8305,0,0.157152589,0.755471812,0.453215684,0.715146648,0,0.523431915,0.388728619,0.519233232,0.799166929,0.563573466,0.111215989
1,0,2522.5575,0,0.172235346,0.941742336,0.525711245,0.668599813,0,0.588924366,0.515213545,0.527138963,0.799166929,0.551152273,0.172358931
1,0,2396.3625,0.381248322,0.246838226,0.116912841,0.732654232,0.151298534,0.165218887,0.656955284,0.445917323,0.575175412,0.799166929,0.42943323,0.253562936
1,0,2399.0475,0.356867336,0.226241344,0.155473246,0.613299683,0.173948666,0.297194364,0.773217771,0.392742685,0.575725373,0.799166929,0.447168687,0.959632919
1,0,2400.211,0.379336846,0.237756136,0.124642922,0.613299683,0.145528794,0.425385756,0.756463194,0.381258235,0.59974126,0.799166929,0.414432967,0.493148146
1,0,2400.211,0.379336846,0.237756136,0.124642922,0.613299683,0.145528794,0.425385756,0.756463194,0.381258235,0.59974126,0.799166929,0.414432967,0.493148146
1,0,2403.433,0.389579552,0.258198383,0.188643436,0.671521337,0.165461113,0.366167776,0.645786289,0.381773237,0.553947969,0.799166929,0.45685737,0.467114573
1,0,2403.433,0.389579552,0.258198383,0.188643436,0.671521337,0.165461113,0.366167776,0.645786289,0.381773237,0.553947969,0.799166929,0.45685737,0.467114573
1,0,2419.4535,0.429281926,0.369446438,0.183789941,0.112249438,0.217166526,0.416925447,0.68893997,0.346223521,0.565549351,0.799166929,0.442338598,0.366356989
1,0,2092.689,0.696175564,0.774,0.774,0.774,0.194286714,0.391542911,0.246434386,0.515213545,0.671247198,0.799166929,0.254552376,0.653965699
1,0,2259.7855,0.347395779,0.224781722,0.934578812,0.487182147,0.67474799,0.315396516,0.688168749,0.324326926,0.497384647,0.799166929,0.423988482,0.29857812
1,0,2265.1555,0.324753184,0.318684436,0.155425367,0.722386655,0.971819866,0.272857936,0.676755328,0.493832183,0.532133275,0.799166929,0.47445148,0.176166515
1,0,2270.257,0.34553473,0.266624274,0.138847572,0.822516819,0.114836432,0.26418886,0.652893737,0.494652874,0.513537913,0.799166929,0.413633956,0.195247149
1,0,2272.584,0.357321372,0.228998469,0.136386249,0.636722613,0.891978167,0.28813422,0.467779455,0.491513722,0.524728386,0.799166929,0.462132497,0.137396389
1,0,2317.513,0.331266689,0.228253258,0.112496938,0.736416257,0.587999377,0.235197546,0.763579215,0.428142456,0.489166889,0.799166929,0.421415433,0.179748772
1,0,2318.766,0.338718842,0.272138333,0.119889719,0.679985892,0.79218715,0.222328688,0.746784656,0.382836637,0.485864999,0.799166929,0.416543579,0.198173693
1,0,2318.8555,0.322581794,0.264353685,0.122741894,0.681396651,0.865111354,0.224485298,0.756938524,0.388213459,0.492625316,0.799166929,0.415513715,0.18849217
1,0,2318.945,0.364527467,0.256569366,0.125527472,0.682874138,0.93835559,0.218568372,0.767923923,0.393623148,0.499386531,0.799166929,0.413559164,0.171528165
1,0,2359.1305,0.333437912,0.219154162,0.132378119,0.689263982,0.891215433,0.295419831,0.674216864,0.496156436,0.479574597,0.799166929,0.435953377,0.859362339
1,0,2523.363,0,0.292124255,0.196126418,0.711963987,0.149356286,0.222798727,0.656955284,0.461631336,0.617471948,0.799166929,0.492673417,0.392882169
1,0,2446.1245,0.774,0.774,0.774,0.774,0,0,0,0,0,0.799166929,0,0.332676114
1,0,2094.479,0.774,0.774,0.774,0.774,0,0,0,0,0,0.799166929,0,0.488816925
0,1,2152.0275,0.597768443,0.568928533,0.417339278,0.113958556,0,0,0,0,0,0.799166929,0,0.593559426
1,0,2713.103,0.618488556,0.343821977,0.184888794,0.134398318,0,0,0,0,0,0.799166929,0,0.255239624
1,0,2279.028,0.494373931,0.255271595,0.116116539,0.672461844,0.953175327,0.355256894,0.764586289,0.335441757,0.563382223,0.799166929,0.458194277,0.279727545
1,0,2280.818,0.426181784,0.316551252,0.137111689,0.644846378,0.876625724,0.272152876,0.766617627,0.226178746,0.576747417,0.799166929,0.434917892,0.436328414
0,1,2283.5925,0.497491383,0.276192838,0.133635359,0.713373858,0.163158142,0.325669452,0.887556164,0.247448947,0.543413515,0.799166929,0.474118577,0.357487428
1,0,2471.095,0.518628312,0.31527826,0.138727888,0.852174917,0.13924685,0.513753183,0.124791424,0.219489725,0.583194157,0.799166929,0.427658555,0.787556433
0,1,2511.728,0.392695126,0.272138333,0.194564848,0.557721241,0.124969582,0.233139597,0.664629923,0.233969493,0.545614378,0.799166929,0.471535283,0.572673365
1,0,2423.7495,0.244727919,0.162342355,0.684132998,0.319318124,0.478229258,0.155818973,0.421893231,0.564549144,0.461963989,0.799166929,0.235373498,0.198263325
1,0,2428.5825,0.244417744,0.156666489,0.595612483,0.472391343,0.617169584,0.151587742,0.455499683,0.451584672,0.468962542,0.799166929,0.259458528,0.332369853
1,0,3042.3735,0.453568613,0.774,0.774,0.318596433,0.464719895,0.774,0.273392961,0.695538285,0.774,0.797341725,0.172692732,0.71495413
1,0,2827.7525,0,0,0,0,0,0,0,0,0.433252485,0.797341725,0.416764587,0.298244448
0,1,2511.6385,0.3926813,0.276192838,0.18225819,0.564773898,0.126124929,0.233844656,0.652386434,0.263432464,0.552768687,0.797341725,0.462342239,0.596681295
1,0,2346.9585,0.725458114,0.575253815,0.165198266,0.172176925,0.234965728,0.774,0.234928122,0.262758978,0.774,0.797341725,0.123756423,0.499967316
1,0,3042.284,0.451366372,0.774,0.66325415,0.343477658,0.452897692,0.774,0.319764561,0.154564634,0.774,0.79558278,0.171321514,0.727129361
0,1,2448.362,0.638339743,0.452158327,0.459688261,0.561482127,0.248863444,0.514223223,0.366453198,0.188399542,0.774,0.79558278,0.182452572,0.451126263
1,0,2494.723,0,0.164126337,0.774592818,0.469312531,0.746781429,0,0.597241927,0.396714429,0.495776699,0.79558278,0.566716863,0.243743367
1,0,2349.912,0.367867316,0.236458695,0.116985233,0.482479616,0.872199632,0.339781443,0.577755119,0.515213545,0.624594622,0.79558278,0.396362486,0.1242396
1,0,2401.643,0.393316493,0.276365757,0.13522798,0.767725794,0.111765939,0.456449638,0.673214736,0.354982132,0.557878982,0.79558278,0.435563174,0.897929573
1,0,2403.791,0.469493461,0.211482948,0.169951576,0.661175776,0.112729882,0.359582245,0.678278478,0.413513513,0.564168411,0.79558278,0.444435754,0.386283267
1,0,2403.791,0.469493461,0.211482948,0.169951576,0.661175776,0.112729882,0.359582245,0.678278478,0.413513513,0.564168411,0.79558278,0.444435754,0.386283267
1,0,2425.0025,0.463289918,0.326365118,0.142539557,0.668699819,0.112687868,0.425157362,0.743778588,0.258894862,0.581936257,0.79558278,0.426699275,0.318219769
0,1,2425.1815,0.533565995,0.284626268,0.138919964,0.671518443,0.112533562,0.432436348,0.741748514,0.236746238,0.596244876,0.79558278,0.425561349,0.323772594
0,1,2339.709,0.574443734,0.365878474,0.219636879,0.19195729,0.273734436,0.774,0.121237188,0.164868334,0.556763478,0.79558278,0.391732699,0.414223229
1,0,2894.072,0.493177936,0.6863465,0.141598463,0.118785917,0.257921398,0.696598553,0.135858759,0.241635152,0.559136888,0.79558278,0.299296426,0.381541664
1,0,2227.655,0.338231132,0.485892937,0.376394769,0.378718284,0.514772617,0.774,0.774,0.515213545,0.652693165,0.79558278,0.255611532,0.676179935
1,0,2548.3335,0,0.123956536,0.576963618,0.36335345,0.589534623,0.14776833,0.398316448,0.482755913,0.5649546,0.79558278,0.527192756,0.191338228
1,0,2559.879,0,0.114499234,0.518325662,0.316141163,0.524485343,0.135841418,0.392954763,0.515213545,0.552611184,0.79558278,0.535426233,0.387363524
1,0,2630.1365,0.388726813,0.774,0.774,0.177525216,0.161277636,0.266982441,0.212524652,0.829493869,0.792986982,0.79558278,0.262472272,0.242923896
1,0,2532.134,0.752484738,0.228893981,0.145576229,0.845514961,0,0,0,0,0,0.79558278,0,0.312396974
1,0,2341.678,0.774,0.774,0.774,0.774,0.325932814,0.593659935,0.774,0.515213545,0.774,0.79558278,0.995342543,0.474488886
1,0,2058.321,0.362141839,0.384691375,0.279287766,0.145128736,0,0,0,0,0,0.79558278,0,0.35941878
1,0,2199.4625,0.395162698,0.251579212,0.114161959,0.727111959,0,0,0,0,0,0.79558278,0,0.14469979
1,0,2288.873,0.176552178,0.571522936,0.396923436,0.177567547,0,0,0,0,0,0.79558278,0,0.475312294
1,0,2702.542,0.155831827,0.774,0.47648318,0.138318767,0,0,0,0,0,0.79558278,0,0.699566212
0,1,2265.603,0.464641854,0.253649793,0.122921365,0.693152977,0.663226459,0.199296752,0.853943373,0.22669396,0.524728386,0.79558278,0.498639173,0.356887242
0,1,2268.5565,0.452545366,0.248297848,0.116623274,0.724276534,0.147385435,0.261668683,0.998125262,0.376158876,0.582879682,0.79558278,0.428618478,0.436735861
1,0,2279.565,0.383996452,0.232897317,0.18732562,0.646127673,0.953175327,0.292834614,0.788955573,0.447725731,0.564111736,0.79558278,0.448952749,0.345517358
0,1,2279.565,0.383996452,0.232897317,0.18732562,0.646127673,0.953175327,0.292834614,0.788955573,0.447725731,0.564111736,0.79558278,0.448952749,0.345517358
1,0,2380.879,0.325683542,0.242265994,0.968629822,0.582922483,0.931894573,0.28813422,0.561589214,0.329783832,0.563539469,0.79558278,0.449436664,0.712646295
0,1,2424.197,0.499381432,0.359391267,0.232522629,0.174847932,0.494349345,0.125359429,0.756938524,0.291766991,0.544513715,0.79558278,0.472182747,0.289492312
1,0,2480.224,0.426852796,0.252352352,0.126166648,0.553958781,0.776834685,0.284843943,0.8215562,0.422993217,0.572816478,0.79558278,0.43895884,0.159369257
0,1,2511.549,0.393316493,0.282473421,0.169951576,0.571827694,0.127271928,0.234549716,0.647994759,0.17878,0.559922997,0.79558278,0.453639769,0.68662895
1,0,2407.729,0.253722988,0.1521254,0.551625914,0.467431519,0.767623273,0.231259438,0.266313515,0.494897893,0.466916972,0.79558278,0.233116426,0.225441939
1,0,2442.9025,0.288152391,0.178398192,0.865388499,0.517748594,0.798328135,0.248952484,0.74639326,0.515213545,0.462974143,0.79558278,0.22699294,0.193116584
1,0,2352.6865,0.334368437,0.196758314,0.922478258,0.545963776,0.163542439,0.282258725,0.457431776,0.585553547,0.671564973,0.793944914,0.411214162,0.115879166
0,1,2257.4585,0.233871893,0.114823564,0.629851953,0.452383422,0.838244542,0.246622868,0.719992681,0.248951181,0.514361966,0.793944914,0.41796735,0.344538644
1,0,2324.0465,0.322891969,0.211327678,0.978139228,0.634841655,0.959529875,0.345436244,0.75186159,0.454675953,0.496792111,0.793944914,0.419148257,0.847413386
